date,symbol,asset_returns
2022-01-03,AAPL,0.015110112515737973
2022-01-04,AAPL,-0.004472479044790557
2022-01-05,AAPL,-0.010662022261952273
2022-01-06,AAPL,0.0009628513304346248
2022-01-07,AAPL,-0.008891675991324729
2022-01-10,AAPL,0.006425754926812089
2022-01-11,AAPL,-0.00873577036016541
2022-01-12,AAPL,0.015828423015182235
2022-01-13,AAPL,-0.007325840803638928
2022-01-14,AAPL,-0.029519272695446228
2022-01-17,AAPL,0.009969432904768365
2022-01-18,AAPL,-0.02524183367164441
2022-01-19,AAPL,-0.026883099271287597
2022-01-20,AAPL,-0.018179630041534552
2022-01-21,AAPL,-0.010009394907855629
2022-01-24,AAPL,0.0014962719033452506
2022-01-25,AAPL,-0.030385537095127674
2022-01-26,AAPL,0.0038176890529732083
2022-01-27,AAPL,0.008517650621211171
2022-01-28,AAPL,0.01440846214463751
2022-01-31,AAPL,0.0017133998543948118
2022-02-01,AAPL,-0.005382127024569848
2022-02-02,AAPL,0.001789962650480453
2022-02-03,AAPL,-0.011192206285452838
2022-02-04,AAPL,-0.01752677741038046
2022-02-07,AAPL,0.002052576288670388
2022-02-08,AAPL,0.010777960202571673
2022-02-09,AAPL,-0.0006998441755889182
2022-02-10,AAPL,-0.008700298582176443
2022-02-11,AAPL,0.008362621338527708
2022-02-14,AAPL,-0.0047513959484756976
2022-02-15,AAPL,0.030188807076884955
2022-02-16,AAPL,0.00001652153898762214
2022-02-17,AAPL,0.01417345693449292
2022-02-18,AAPL,0.009611273014113382
2022-02-21,AAPL,-0.014723618547562121
2022-02-22,AAPL,0.016774293022933366
2022-02-23,AAPL,-0.0095023636976247
2022-02-24,AAPL,-0.003271494146284552
2022-02-25,AAPL,0.00823311875943377
2022-02-28,AAPL,0.025004689090375815
2022-03-01,AAPL,0.008524018625679725
2022-03-02,AAPL,0.006992893085933628
2022-03-03,AAPL,-0.0036687026813510045
2022-03-04,AAPL,-0.005765832115135828
2022-03-07,AAPL,-0.004948834968642127
2022-03-08,AAPL,-0.0031814559574822954
2022-03-09,AAPL,0.009126533761656086
2022-03-10,AAPL,0.029797304433803618
2022-03-11,AAPL,-0.005654264893347083
2022-03-14,AAPL,0.004570241759387439
2022-03-15,AAPL,0.025989548108344265
2022-03-16,AAPL,0.02834321085389129
2022-03-17,AAPL,-0.00329122628766585
2022-03-18,AAPL,0.017465427595553938
2022-03-21,AAPL,0.007179985816163915
2022-03-22,AAPL,-0.0029478953761361074
2022-03-23,AAPL,-0.011860265814900895
2022-03-24,AAPL,0.010975030562423198
2022-03-25,AAPL,0.009659024526301086
